,magnitude,jumlahinf,kluster
871,4.9,69,0
872,4.5,64,0
873,4.5,70,0
874,4.5,31,1
875,4.6,0,1
876,4.5,28,1
877,4.5,0,1
878,4.6,4,1
879,4.5,0,1
880,4.8,3,1
881,4.7,0,1
882,4.8,0,1
883,4.5,0,1
884,5.3,52,0
885,4.8,21,1
886,5.1,50,1
887,4.8,7,1
888,4.5,27,1
889,4.5,19,1
890,5.0,61,0
891,4.6,9,1
892,4.5,35,1
893,5.1,42,1
894,4.7,23,1
895,4.8,37,1
896,4.7,36,1
897,4.6,29,1
898,4.9,18,1
899,5.2,33,1
900,5.0,7,1
901,4.5,0,1
902,4.5,0,1
903,4.6,30,1
904,4.5,0,1
905,4.9,1,1
906,4.9,2,1
907,4.6,11,1
908,6.3,110,0
909,5.0,1,1
910,5.2,1,1
911,5.1,29,1
912,4.5,0,1
913,5.2,0,1
914,4.5,0,1
915,4.8,0,1
916,5.7,20,1
917,4.6,134,0
918,4.5,5,1
919,6.0,0,1
920,4.9,0,1
921,5.2,60,0
922,4.7,53,0
923,4.5,0,1
924,4.5,18,1
925,4.5,0,1
926,4.5,11,1
927,4.9,132,0
928,4.7,30,1
929,5.2,58,0
930,4.8,35,1
931,4.8,0,1
932,4.6,1,1
933,4.5,30,1
934,4.7,30,1
935,4.6,0,1
936,5.3,32,1
937,4.8,10,1
938,5.0,46,1
939,4.9,80,0
940,4.5,27,1
941,5.3,211,2
942,4.5,103,0
943,4.6,0,1
944,4.5,9,1
945,4.7,5,1
946,4.6,0,1
947,4.8,5,1
948,4.9,86,0
949,5.0,97,0
950,4.9,38,1
951,4.7,14,1
952,5.1,79,0
953,5.1,121,0
954,4.7,25,1
955,4.5,1,1
956,4.7,1,1
957,4.6,3,1
958,4.6,4,1
959,4.7,20,1
960,7.0,90,0
961,4.5,0,1
962,4.6,0,1
963,4.8,1,1
964,4.8,38,1
965,4.7,0,1
966,5.4,13,1
967,4.8,71,0
968,5.2,24,1
969,4.9,136,0
970,5.0,32,1
971,4.7,11,1
972,4.8,23,1
973,4.6,52,0
974,6.2,357,2
975,4.6,7,1
976,5.2,167,0
977,5.7,246,2
978,4.6,23,1
979,5.1,93,0
980,4.5,5,1
981,4.5,0,1
982,4.6,49,1
983,5.9,86,0
984,4.6,10,1
985,4.6,30,1
986,4.6,0,1
987,5.3,38,1
988,4.5,34,1
989,4.5,19,1
990,5.2,42,1
991,4.9,3,1
992,5.6,27,1
993,4.7,125,0
994,5.2,21,1
995,5.2,6,1
996,5.0,0,1
997,6.1,273,2
998,5.5,186,0
999,5.1,42,1
1000,4.5,23,1
1001,5.0,36,1
1002,5.2,0,1
1003,4.6,14,1
1004,4.5,12,1
1005,4.8,57,0
1006,4.9,22,1
1007,5.1,33,1
1008,4.5,114,0
1009,4.7,6,1
1010,4.6,0,1
1011,4.5,0,1
1012,4.8,19,1
1013,4.5,0,1
1014,4.6,0,1
1015,4.8,0,1
1016,4.5,0,1
1017,5.3,0,1
1018,4.8,1,1
1019,4.5,19,1
1020,4.6,11,1
1021,4.5,0,1
1022,5.1,44,1
1023,5.0,31,1
1024,4.9,0,1
1025,4.5,0,1
1026,4.8,1,1
1027,5.0,36,1
1028,5.1,10,1
1029,4.5,6,1
1030,5.2,65,0
1031,5.2,0,1
1032,4.6,2,1
1033,6.1,0,1
1034,4.5,0,1
1035,4.9,0,1
1036,4.8,0,1
1037,4.7,64,0
1038,4.8,0,1
1039,4.9,22,1
1040,4.6,0,1
1041,4.9,0,1
1042,5.1,94,0
1043,4.5,0,1
1044,4.7,0,1
1045,4.8,0,1
1046,4.5,0,1
1047,5.0,0,1
1048,4.5,0,1
1049,6.1,58,0
1050,4.7,0,1
1051,4.5,1,1
1052,4.5,0,1
1053,4.9,96,0
1054,4.5,58,0
1055,4.7,0,1
1056,4.9,9,1
1057,5.3,54,0
1058,4.7,1,1
1059,4.6,31,1
1060,4.5,1,1
1061,5.0,6,1
1062,4.5,1,1
1063,4.5,1,1
1064,4.6,5,1
1065,4.5,22,1
1066,4.9,13,1
1067,4.6,12,1
1068,4.8,0,1
1069,4.5,0,1
1070,5.0,137,0
1071,4.8,71,0
1072,4.6,0,1
1073,5.2,70,0
1074,4.5,92,0
1075,4.5,85,0
1076,4.5,14,1
1077,4.6,38,1
1078,4.6,23,1
1079,4.6,0,1
1080,5.0,35,1
1081,4.7,32,1
1082,4.6,0,1
1083,4.5,0,1
1084,5.2,106,0
1085,4.9,51,0
1086,4.5,56,0
1087,4.6,38,1
1088,4.5,21,1
1089,4.5,19,1
1090,4.5,0,1
1091,4.6,23,1
1092,4.8,41,1
1093,4.5,11,1
1094,5.0,42,1
1095,4.5,9,1
1096,4.8,49,1
1097,4.5,27,1
1098,4.6,0,1
1099,5.3,142,0
1100,4.6,28,1
1101,4.9,78,0
1102,4.7,0,1
1103,4.5,9,1
1104,4.7,32,1
1105,5.0,174,0
1106,4.5,85,0
1107,4.6,7,1
1108,4.5,23,1
1109,4.7,70,0
1110,5.2,151,0
1111,4.5,0,1
1112,4.5,0,1
1113,6.0,67,0
1114,4.6,1,1
1115,4.5,0,1
1116,4.6,21,1
1117,4.5,64,0
1118,5.1,105,0
1119,5.1,0,1
1120,4.8,49,1
1121,4.7,10,1
1122,4.6,47,1
1123,4.9,5,1
1124,4.5,1,1
1125,4.9,18,1
1126,4.5,78,0
1127,4.5,25,1
1128,4.5,23,1
1129,4.9,94,0
1130,4.9,12,1
1131,4.5,5,1
1132,5.2,254,2
1133,4.8,14,1
1134,4.5,0,1
1135,4.5,14,1
1136,4.9,17,1
1137,5.3,60,0
1138,4.6,41,1
1139,4.6,0,1
1140,5.7,24,1
1141,4.8,18,1
1142,4.5,0,1
1143,4.5,0,1
1144,4.6,0,1
1145,4.5,1,1
1146,4.7,17,1
1147,5.3,66,0
1148,5.4,187,0
1149,5.1,99,0
1150,4.6,0,1
1151,4.6,0,1
1152,4.7,17,1
1153,5.4,318,2
1154,4.8,6,1
1155,4.5,0,1
1156,4.6,27,1
1157,4.5,281,2
1158,4.5,0,1
1159,4.5,89,0
1160,4.8,5,1
1161,4.9,10,1
1162,4.6,11,1
1163,4.6,10,1
1164,4.5,25,1
1165,4.6,1,1
1166,4.5,62,0
1167,4.8,0,1
1168,5.2,5,1
1169,5.1,9,1
1170,5.1,46,1
1171,4.7,0,1
1172,4.9,5,1
1173,5.5,40,1
1174,5.6,45,1
1175,4.6,36,1
1176,5.1,5,1
1177,4.7,29,1
1178,4.5,13,1
1179,4.5,22,1
1180,5.2,27,1
1181,5.2,19,1
1182,4.6,0,1
1183,4.5,27,1
1184,4.7,1,1
1185,4.6,0,1
1186,5.1,7,1
1187,4.5,1,1
1188,4.5,4,1
1189,4.5,1,1
1190,4.9,5,1
1191,5.2,29,1
1192,4.9,45,1
1193,4.5,10,1
1194,4.7,37,1
1195,4.7,88,0
1196,4.5,65,0
1197,4.8,69,0
1198,4.6,25,1
1199,4.5,16,1
1200,5.4,44,1
1201,4.6,49,1
1202,4.8,0,1
1203,4.9,1,1
1204,4.9,12,1
1205,4.8,0,1
1206,4.8,52,0
1207,4.9,67,0
1208,4.7,61,0
1209,4.8,38,1
1210,5.0,20,1
1211,4.6,29,1
1212,4.5,0,1
1213,4.5,3,1
1214,4.5,0,1
1215,4.9,0,1
1216,4.8,0,1
1217,5.0,0,1
1218,4.6,20,1
1219,4.5,12,1
1220,4.9,14,1
1221,4.5,0,1
1222,4.7,45,1
1223,4.8,0,1
1224,4.5,0,1
1225,4.7,0,1
1226,4.6,16,1
1227,4.5,0,1
1228,4.7,0,1
1229,4.6,33,1
1230,5.0,5,1
1231,5.0,0,1
1232,4.6,0,1
1233,4.5,67,0
1234,5.2,4,1
1235,4.5,45,1
1236,4.9,39,1
1237,5.5,21,1
1238,4.5,0,1
1239,4.5,0,1
1240,4.5,39,1
1241,4.6,0,1
1242,4.6,31,1
1243,4.9,31,1
1244,5.0,98,0
1245,4.8,88,0
1246,4.9,31,1
1247,4.6,30,1
1248,5.2,13,1
1249,4.5,72,0
1250,4.7,0,1
1251,4.5,9,1
1252,4.5,0,1
1253,4.9,86,0
1254,4.5,5,1
1255,4.5,0,1
1256,4.5,0,1
1257,4.5,31,1
1258,4.6,31,1
1259,4.6,27,1
1260,4.6,31,1
